customer_id,analysis_id,status,job_role,experience_level.level,experience_level.years,overview,strengths,gaps,recommendations,keywords,formatting_issues,regional_insights,created_at,file_name
9,1760007290148,completed,Business analyst  ,Executive level,17,"Visionary marketing and business executive with 17+ years of experience scaling digital ecosystems, launching high-impact programs and hypergrowth. Proven success in leading cross-functional teams, crafting go-to-market strategies, and managing multi-million dollar P&Ls. Deep expertise in marketplace platforms, digital marketing, super apps, and consumer tech.",Cross-functional Team Leadership | Proven Go-to-Market Strategist | Multi-million Dollar P&L Management,No business analysis methodology mention | Missing agile/Scrum methodology details | Lacks data analysis tool experience | No system requirement documentation | Unquantified early role accomplishments,"Add a dedicated skills section to highlight competencies | Incorporate business analysis keywords (e.g., requirements gathering) | Quantify achievements with precise metrics and remove placeholders | Ensure consistent date formatting throughout | Highlight relevant tools (e.g., JIRA, SQL) used in roles",Requirements Gathering | Stakeholder Management | Agile | Business Process Modelling | P&L Management | Go-to-Market Strategy | OKRs | CRM,"No dedicated skills section | Inconsistent date formats (e.g., 2010 - 2012 vs 2003 – 2007) | Certifications inline with education | Mixed bullet indentations in work history | Lacking clear section separators",Specify Australian work rights or visa status | Use Australian English spelling and terminology | Highlight local market insights or projects in Australia | Typical senior business analyst salary: AUD 90–120K | Agile certifications like PMI-ACP are highly valued in Australia,2025-10-09T10:55:46,Truc Nguyen_CMO.pdf
10,1760010233087,craft,Test engineering,Senior level,8,"Senior QA Engineer with 8 years of experience in manual and automated testing, API testing, test management tools, and CI/CD pipelines. Skilled in defect analysis, test execution, and mentoring junior QA engineers.",Advanced test automation proficiency | Strong analytical and defect diagnosis | Mentorship in QA processes,No quantifiable metrics in achievements | Missing test plan and test strategy keywords | No scripting language proficiency stated | Lacks CI pipeline implementation details | No performance testing metrics,"Incorporate quantifiable achievements and metrics | Highlight scripting language experience (e.g., Python, Java) | Detail CI/CD pipeline contributions and integration | Use consistent formatting for bullets and headers | Include stakeholder collaboration and test planning details",Selenium | TestNG | JUnit | Postman | REST Assured | Jira | TestRail | Jenkins | MySQL | MongoDB | Agile | Scrum,Bullets in Technical Skills list run together | Inconsistent bullet indentation | Missing space after some bullets | Inconsistent date formats | Section headings lack uniform styling,Specify right to work or visa status for Australia | Use keywords like “test strategy” and “automation framework” | Senior QA salary band ~100–130K AUD in major cities | Experience with Azure DevOps is highly valued | Highlight Agile/Scrum experience in local context,2025-10-09T11:44:34,FOO Lee_CV_senior QA.docx
11,1760011356037,craft,Test engineering,Executive level,20,"Advanced IT Operations Executive with over 13 years of experience driving infrastructure technology and cybersecurity initiatives. Hands-on leader skilled in global-scale operations, high-availability architectures, and security frameworks to support company objectives.",Global-scale IT security leadership | Disaster recovery and BCP expertise | Cost-saving contract negotiations,No Australia-market terminology | Missing work rights/visa statement | Typo in summary heading | Footer page numbers included | Summary in paragraph form,Correct typo in TECHNOLOGY header | Convert summary into bullet points | Add Australian work eligibility statement | Remove page number footers | Include local compliance frameworks (e.g. ASD Essential Eight),Cyber Security | NIST SP 800-88 | SOC2 | Disaster Recovery | Business Continuity | PKI | VPN | Firewall | PowerShell | SolarWinds | Active Directory | Office 365 | Vendor Negotiation,Typo in 'TEHNOLOGY' header | Inconsistent bullet indenting | Footer page numbers visible | Paragraph summary instead of bullets | Phone number redacted,Australian IT security directors often reference ASD Essential Eight compliance | Clarify visa or citizenship for work rights in Australia | Typical salary band AUD 180k–220k for security director roles | Demand for CISSP-certified professionals is high in Australia | Highlight experience with AWS and Azure Government for local market,2025-10-09T12:03:47,PN_resume_2019_updated (1).pdf
12,1760015558385,craft,Business analyst  ,Senior level,0,"Senior level business analytics professional with expertise in marketing strategy, market research, budget management, and leadership.",Expert Leadership skills | Advanced Market Research | Advanced Budget Management,Missing contact details | Unspecified employment dates | No quantified achievements | Lack of career specifics | Empty reference fields,"Add actual contact details (email, phone, location) | Detail real work roles with dates and company names | Quantify achievements with metrics and outcomes | Incorporate relevant keywords for ATS optimization | Tailor skills section to highlight key analytic tools",Business Analytics | Data Analysis | KPI | Stakeholder Management | Market Research,Placeholder text not updated | Inconsistent bullet spacing | Empty contact fields | Generic section headings | Missing dates formatting,"In Australia, include full address and indicate work rights (e.g., citizen or visa status) | Use local terminology (e.g., 'Analyse' vs. 'Analyze') | Showcase proficiency in popular Australian tools (e.g., Power BI, Tableau) | Include salary expectations based on AU benchmarks (e.g., AUD 100k+ for senior roles) | List memberships in local professional bodies (e.g., IIBA Australia)",2025-10-09T13:13:04,RichardSanchez_CV.pdf
12,1760015600287,craft,Business analyst  ,Senior level,0,Senior level Business analytics,Expert Marketing Strategy | Advanced Market Research | Expert Leadership,Missing contact details | Generic education dates | Generic work descriptions | No quantified metrics | Missing location information,"Add full contact details and professional email | Quantify achievements with metrics in work history | Include relevant BI/data tools (e.g., SQL, Tableau) | Detail real projects and outcomes | List certifications (e.g., CBAP, Tableau)",Business Analysis | Data Analysis | Market Research | Budget Management | Stakeholder Engagement | Strategic Planning | Process Improvement,Placeholders in contact details | Generic YYYY date placeholders | Inconsistent bullet styles | Lack of section dividers | Reference formatting inconsistent,"Use Australian English spelling and terminology | Highlight right-to-work status and visa (if required) | Reference local BI tools and software demand (e.g., Power BI) | Align salary expectations to A$ ranges for analysts | Emphasize experience with Australian regulatory context",2025-10-09T13:13:41,RichardSanchez_CV.pdf
13,1760015656063,craft,Business analyst  ,Mid level,6,"High school senior with 3+ years in social media marketing and content creation roles. Managed campaigns across Instagram, Facebook, and TikTok, organized fundraising events, and leveraged analytics to drive engagement. Seeking to transition into a Business Analyst role utilizing strong communication and problem-solving skills.",Social media growth & engagement | Cross-cultural communication | Data-driven marketing campaigns,Missing business analyst keywords | No mention of SQL or Excel skills | Lacks industry-standard BI tools experience | Omits data visualization tools | No professional certifications listed,"Include SQL, Excel proficiency for BA roles | Use action verbs and quantify achievements | Add a Certifications section for credentials | Tailor summary to business analysis objectives | Standardize date range formatting across roles",Social media marketing | Content Creation | Analytics | Negotiation | Communication,Inconsistent dash usage in dates | Lack of certifications section | Summary line too long and dense | Missing clear Objective heading | No bullet indent consistency,"Use Australian English spelling conventions | Highlight RMIT University coursework in Aus context | Specify visa or work rights for Australian employers | Adjust expected salary to AUD market rates | Incorporate local market tools like Power BI, Tableau",2025-10-09T13:15:20,Binh Phuong Duyen Dang CV - Binh Phuong Duyen Dang.pdf
14,1760015916021,craft,Business analyst  ,Entry level,1,"Recent English Language Education graduate with internship experience in business development and partnership roles. Skilled in client prospecting, sales pitches, and stakeholder collaboration. Seeking a Business Analyst role to leverage strong analytical and communication skills.",High client conversion rate | Proven partnership leadership | Strong prospect research,No technical analysis tools | Missing BA keywords | Lacks data modeling examples | No SQL or Excel skills | No professional summary,"Add professional summary tailored to Business Analyst | Include analytical tools: SQL, Tableau, Excel functions | Incorporate BA keywords: requirements gathering, process mapping | Quantify any data analysis or process improvement work | Use consistent formatting and clear section headings",requirements gathering | stakeholder management | data analysis | process mapping | SQL | Excel,Date formats inconsistent spacing | Company names and roles not bold | No section for summary | Bullets vary in punctuation | Margins may hinder ATS,"Mention Australian work rights or visa status | Highlight IELTS 8.0 for local English requirement | Use local terminology (e.g., ""tertiary education"") | Entry-level BA salary ~AU$60-70k | Familiarity with MS Excel and Power BI valued",2025-10-09T13:19:09,[Project X Fellowship 2022] NguyeÌÌn ÄuÌÌc TuÌng - TuÌng NguyeÌÌn ÄuÌÌc.pdf
14,1760015976285,craft,Business analyst  ,Entry level,1,"Entry-level business development specialist with experience in prospect research, client acquisition, and partnership management gained through internships and executive roles. Strong communication and analytical skills with a 3.8 GPA.","High conversion rate from lead to SQLs | Generated $10,000 in employer branding sales | Led partnerships with 11 employers",No professional summary or objective | Lacks business analysis technical skills | Missing LinkedIn profile URL | No section for relevant software tools | Dates formatted inconsistently,"Include a concise professional summary at top | Add BA-specific technical skills (SQL, Excel modeling) | Create dedicated technical skills section | Standardize date format throughout | Link to LinkedIn and professional portfolio",Prospect research | Client acquisition | Stakeholder engagement | Partnership development | Conversion rate optimization,Inconsistent date formatting (Feb 2021 – Feb 2022) | Bullet points lack parallel structure | Company descriptions inline with titles | Excessive use of ampersand (&) | Extra spaces around bullet items,Specify Australian work rights or visa status | Use Australian English spelling conventions | Highlight experience with local tools like Power BI | Include expected salary range in AUD | Network via LinkedIn and local meetups,2025-10-09T13:20:26,[Project X Fellowship 2022] NguyeÌÌn ÄuÌÌc TuÌng - TuÌng NguyeÌÌn ÄuÌÌc.pdf
15,1760028093778,craft,Data analytics,,0,,,,,,,,2025-10-09T16:41:46,2. Ho Thi Phuong Dung_Payslip of June.docx
16,1760084158935,craft,Business analyst  ,Entry level,1,"Adaptable Business Graduate with 4+ years of customer service, team leadership, and operations experience across retail, consulting, and hospitality. Skilled in CRM systems, data-driven insights, and project coordination, seeking entry-level Business Analyst roles to apply strong problem-solving, communication, and stakeholder engagement abilities.",Delivered data-driven insights improving outcomes by 30% | Led and coached teams of 50+ staff | Awarded Employee of the Year at McDonald’s,No SQL or database skills listed | Lacks requirement gathering terminology | Missing BA deliverables examples | No mention of ERP or BI tools | Dates format varies,"Add SQL or database skills and tools (e.g., SQL, Tableau) | Include requirement gathering and process mapping examples | Quantify BA deliverables and methodologies used | Standardise date formats (MMM YYYY) | Add a brief Skills Summary section at top",Business Analysis | Requirements Gathering | Stakeholder Engagement | Data Analysis | CRM,Inconsistent date range formatting | Summary text runs in long paragraphs | No section for languages or visa status | Certifications lack dates | Headings styling inconsistent,"Australians expect clear visa/work rights statement if not citizen | Use “Resume” terminology and A$ salary bands (A$60–80k) | Highlight local business analysis frameworks (e.g., BABOK) | Mention Graduate Programs or internships common locally | Australians value concise one-page resumes for entry roles",2025-10-10T08:16:36,Thu Hien (Yoon)_Pham_Resume.pdf
16,1760084316257,craft,Business analyst  ,Mid level,4,"Adaptable and customer-focused business graduate with over 4 years of experience in customer service, team leadership, and project coordination across retail, consulting, and hospitality. Skilled in CRM systems, issue tracking, and data-driven analysis, with a proven track record of improving operational efficiency and client outcomes. Seeking a mid-level business analyst role to leverage strong problem-solving, communication, and stakeholder engagement skills.",Delivered insights that improved client outcomes by 30% | Led and coached teams of 50+ staff | Optimised operations reducing waste by 12%,"No SQL or database querying tools | Lacks Tableau or advanced BI tools | Missing Python or data analysis languages | No mention of BA methodologies (e.g., BABOK) | Combined multiple companies in one entry","Add SQL and database skills to align with BA roles | Standardise date formatting (Month YYYY) | Separate combined retail roles into distinct entries | Highlight BA methodologies (e.g., BABOK, UML) | Include visa/work rights statement for Australian roles",Customer Service | CRM Systems | Complaint Resolution | Issue Tracking | Jira | Power BI | Monday.com | Trello | Project Coordination | Stakeholder Engagement | Team Leadership | Market Research | KPI Tracking | Data-driven Insights,Inconsistent date formats (Jul vs July) | Ampersand usage inconsistent (& vs and) | Combined multiple employers in one line | Bullets spacing varies | URLs not plain text,Australian recruiters prefer Month YYYY date format | Avg. mid-level BA salary ~A$70k–90k per annum | Highlight Agile/Scrum frameworks common in Australia | Emphasise Australian spelling (optimise) | Note eligibility to work in Australia on CV,2025-10-10T08:19:25,Thu Hien (Yoon)_Pham_Resume.pdf
17,1760256028351,craft,Business analyst  ,Senior level,14,"Marketing Manager with over a decade in luxury business and FMCG, specializing in experiential marketing, event management, PR, and brand activations, with a proven track record at Porsche Vietnam and new brand launches.",Experiential marketing expertise | Brand launch leadership | Strategic partnership building,"No quantifiable achievements or metrics | Typo in ""Criris management"" | Lacks professional certifications | Missing ATS-relevant keywords | No LinkedIn profile link","Incorporate quantifiable metrics and KPIs for projects | Correct typo ""Criris"" to ""Crisis"" | Add relevant certifications (e.g., Digital Marketing) | Include a LinkedIn profile link | Simplify layout for ATS compatibility (remove photo)",Experiential Marketing | Brand Activation | CSR | Project Management | PR Communications,"Typo in ""Criris management"" | Photo may affect ATS parsing | Inconsistent bullet indentation | Missing LinkedIn URL | Extra spacing in skill bullets","Australian resumes omit photos—remove your photo | Use Australian English spelling (e.g., “organise”) | Highlight work rights or visa status in Australia | Employers expect clear metrics and outcomes | Include certifications recognised in Australia (e.g., CIM)",2025-10-12T08:01:12,CV-Pham-Thi-Nhu-Y-21101988.pdf
17,1760256092952,craft,Business analyst  ,Senior level,14,"Marketing professional with 14 years of experience in luxury and FMCG sectors, excelling in project management, strategic event activation, and partnership development. Seeking to leverage analytical and stakeholder management skills in a Business Analyst role.",Strategic event marketing leadership | Brand development & PR excellence | Crisis management proficiency,"Missing quantifiable marketing metrics (ROI, KPIs) | No digital marketing tools (e.g., Google Analytics) | Absence of LinkedIn or professional online profile | 'Criris' typo in skills section | Inconsistent date formatting for Thien Viet International","Include quantifiable results & metrics (e.g., ROI, event reach) | Add digital marketing tools and platforms proficiency | Fix typos and ensure consistent date formatting | Add LinkedIn profile link & professional online presence | Condense Profile summary to highlight key achievements",Event Marketing | Branding | Public Relations | Partnership Management | Project Management | CSR | Copywriting | Crisis Management,Long Profile section can be more concise | Inconsistent bullet indentation in Skills | Date format inconsistent (single year vs ranges),"Specify Australian work rights or visa status upfront | Use local terminology (e.g., Marketing Manager role expectations) | Emphasize APAC/global brand experience valued in Australia | Research Australian salary bands: A$100k–A$130k for Marketing Managers | Consider adding certifications like Google Ads or HubSpot for local preference",2025-10-12T08:02:18,CV-Pham-Thi-Nhu-Y-21101988.pdf
18,1760426276249,craft,Business analyst  ,Senior level,12,"Dynamic Business Development and Strategic Partnership leader with over 12 years of experience scaling technology-driven businesses. Proven expertise in selling SaaS platforms, forming high-value partnerships, and driving market expansion across Education, F&B, Retail, and Fintech sectors. Skilled in team leadership, data-driven decision making, and digital engagement to deliver measurable growth and profitability.",Proven partnership strategy leadership | Team leadership across multiple functions | Data-driven growth optimization,"No CRM software proficiency listed | Lacks technical tool keywords (Excel, SQL) | Inconsistent date formatting | No standardized summary keywords | Skills section not ATS-optimized","Include CRM and BI tools (e.g., Salesforce, Power BI) | Standardize date formats throughout CV | Tailor summary with Business Analyst keywords | Quantify achievements with percentages or ranges | Reformat to single-column ATS-friendly layout",CRM | Salesforce | Excel | Power BI | SQL | Partnerships | Strategic Planning | Market Analysis | Stakeholder Management,Graphic header may not parse in ATS | Two-column layout splits content | Bullet indentation inconsistent | Date formats vary (Nov. vs March) | No clear section dividers,"Use AU$ when citing salary expectations | Highlight Australian work rights or visa status | Emphasize knowledge of ANZ market trends | Reference local tech stacks (e.g., Xero, MYOB) | Senior BA roles typically range AU$100k–130k",2025-10-14T07:18:49,Mandy Nguyen_Resume_Updated on Oct.25-compressed.pdf
19,1760430218242,craft,Business analyst  ,Mid level,5,"Business Analyst with 5 years of experience in outsourcing and product-based environments, specializing in requirements gathering, stakeholder management, and agile delivery.",Expert in requirements gathering & documentation | Skilled in stakeholder communication & management | Agile delivery and backlog prioritization,Visa or work rights status not stated | Core competencies section missing | Missing quantified performance metrics | Certification statuses vague | Specific technical tool proficiency unclear,"Add visa or work rights status (e.g., PR, visa subclass) | Include a core competencies summary at the top | Quantify all achievements with clear metrics | Clarify status of certifications (CBAP, CCBA, IELTS) | Standardize date formats and spacing throughout",Business Analysis | Requirement Gathering | Process Mapping | Gap Analysis | Use Case | User Stories | Acceptance Criteria | Agile | Scrum | Kanban | SQL | UAT | BRD | FRD | SRS | Product Owner | Stakeholder Management | API Integration,Use of icons in contact may hinder ATS | Inconsistent spacing in education line | Date formats lack consistent separators | Job title and company merged without delimiter,"Australian employers expect clear mention of work rights (PR/visa status) | Avoid icons and emojis for ATS-friendly formatting | Target Business Analyst salary range: AUD 80k–110k | Highlight collaboration with Australian or global clients | Use A4 layout, limit CV to 2 pages",2025-10-14T08:24:35,BA_Sample CV.docx
19,1760430363155,craft,Business analyst  ,Mid level,5,"Business Analyst with 5 years of experience in outsourcing and product-based environments, specializing in requirements gathering, stakeholder management, and translating business needs into functional specifications. Proven track record in agile delivery, collaborating with cross-functional teams, and delivering digital products for finance, CRM, and mobile applications. Seeking opportunities in Australia to contribute to business transformation projects.",Agile delivery expertise | Stakeholder management | Requirements documentation,No mention of Australian work eligibility | Certificate status (CBAP/CCBA) unclear | Header includes emoji instead of plain text | Contact number not in +61 format | Education section lacks bullet formatting,Remove emojis and use plain text in header | Add Australian work right or visa status | Standardize date formats across sections | Use clear section headings and bullet styling | Clarify certification status and dates,Business Analysis | Requirements Gathering | Agile | Scrum | BRD | FRD | UAT | Stakeholder Management | User Stories | SQL,Emoji characters in header | Inconsistent date format in education | Lack of clear section headings | Mixed hyphens and en dashes | No bullet style in certifications,Indicate visa or Australian work rights prominently | Convert phone number to +61 format for local recruiters | List availability for National Police Check if requested | Show familiarity with Australian finance/CRM regulations | Expect BA salary range of AUD 90k–110k in Sydney,2025-10-14T08:26:40,BA_Sample CV.docx
